Date | Hour | Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
02-10-2020,1,00:00 - 00:15,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47,2243.47
00:15 - 00:30,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61,2300.61
00:30 - 00:45,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62,2417.62
00:45 - 01:00,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09,2509.09
2,01:00 - 01:15,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74,2592.74
01:15 - 01:30,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84,2500.84
01:30 - 01:45,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83,2497.83
01:45 - 02:00,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10,2349.10
3,02:00 - 02:15,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92,2417.92
02:15 - 02:30,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02,2270.02
02:30 - 02:45,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84,2417.84
02:45 - 03:00,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32,2417.32
4,03:00 - 03:15,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89,2417.89
03:15 - 03:30,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02,2349.02
03:30 - 03:45,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63,2300.63
03:45 - 04:00,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25,2274.25
5,04:00 - 04:15,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81,2319.81
04:15 - 04:30,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80,2299.80
04:30 - 04:45,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40,2274.40
04:45 - 05:00,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91,2250.91
6,05:00 - 05:15,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27,2319.27
05:15 - 05:30,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55,2249.55
05:30 - 05:45,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13,2274.13
05:45 - 06:00,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42,2349.42
